PWM,Rev,RPM,Time
20560,0.0,0.0,3.386162757873535
20560,0.04509493670886076,0.0,3.781222343444824
20560,0.14794303797468356,61.471493057591104,3.881608486175537
20560,0.27689873417721517,76.41824072710956,3.982858419418335
20560,0.4200949367088608,84.96690662117086,4.083977460861206
20560,0.5712025316455697,89.74797007510978,4.1849987506866455
20560,0.7270569620253164,92.46623849376468,4.286130428314209
20560,0.8860759493670886,95.00422213388629,4.386559009552002
20560,1.0466772151898733,95.35732934460361,4.487611293792725
20560,1.2080696202531647,95.31635499241975,4.589205026626587
20560,1.3710443037974684,97.0438229511573,4.689968585968018
20560,1.5340189873417722,97.0171946599908,4.790759801864624
20560,1.6977848101265822,97.19753576936843,4.891852378845215
20560,1.8615506329113924,96.61739345360716,4.993551969528198
20560,2.026107594936709,98.08137767107819,5.094217538833618
20560,2.1922468354430378,98.98906620631408,5.194919109344482
20560,2.357594936708861,98.14682713099008,5.296001195907593
20560,2.524525316455696,99.50685394153209,5.396655797958374
20560,2.6914556962025316,99.1042639962166,5.4977192878723145
20560,2.858386075949367,99.11057690584775,5.598776340484619
20560,3.0253164556962027,98.97211159109227,5.699974775314331
20560,3.1930379746835444,100.06899642593544,5.8005383014678955
20560,3.3607594936708862,99.39270170883572,5.9017860889434814
20560,3.5292721518987342,99.6587744809784,6.003239870071411
20560,3.6977848101265822,100.12134938295168,6.104224920272827
20560,3.8662974683544302,100.21314869850647,6.205117464065552
20560,4.034810126582278,99.85424595849203,6.30637264251709
20560,4.204113924050633,100.6023283564317,6.407346725463867
20560,4.3734177215189876,100.46948116894738,6.508454322814941
20560,4.542721518987341,100.76888219982813,6.609261512756348
20560,4.712025316455696,100.93407552331193,6.709903717041016
20560,4.881329113924051,100.2116714048892,6.81127142906189
20560,5.050632911392405,100.87648289087052,6.911971092224121
20560,5.220727848101266,101.30229770104079,7.012716054916382
20560,5.390822784810126,101.13762638735498,7.1136250495910645
20560,5.561708860759493,101.13752460872234,7.215003490447998
20560,5.7325949367088604,101.57179627940889,7.315948486328125
20560,5.9034810126582276,101.57563480843135,7.416889667510986
20560,6.074367088607595,101.33198501852998,7.518073558807373
20560,6.245253164556962,101.6337279596254,7.618957042694092
65535,6.4169303797468356,102.50518012148783,7.7194459438323975
65535,6.676424050632911,153.36748208973978,7.820964336395264
65535,6.980221518987341,181.19519029462063,7.921562194824219
65535,7.287183544303797,181.55084874188526,8.023008823394775
65535,7.594936708860759,183.30513629633109,8.123743534088135
65535,7.902689873417722,182.80886219066616,8.224751710891724
65535,8.21123417721519,182.51799131620427,8.326180934906006
65535,8.519778481012658,182.31229136942792,8.427724599838257
65535,8.828322784810126,183.7376543257025,8.528480529785156
65535,9.136867088607595,183.7576562949112,8.629225492477417
65535,9.445411392405063,183.00925668880487,8.730382442474365
65535,9.753955696202532,183.53657237603812,8.831248760223389
65535,10.0625,183.68766844807433,8.932032108306885
65535,10.371044303797468,184.3304239740961,9.032464027404785
65535,10.679588607594937,182.75985250668734,9.133759021759033
65535,10.988132911392405,183.47455608176662,9.234659433364868
65535,11.296677215189874,182.6480785649677,9.336016416549683
65535,11.605221518987342,182.8678872089894,9.437251567840576
65535,11.91376582278481,183.40131810895326,9.53819227218628
65535,12.222310126582279,183.78331737033298,9.638923168182373
65535,12.530854430379748,183.1897336550463,9.739980459213257
65535,12.839398734177216,183.47455608176662,9.840880870819092
65535,13.147943037974683,183.2736166877039,9.94189190864563
65535,13.455696202531646,182.6846746098815,10.04296875
65535,13.764240506329115,184.26087374186628,10.143438577651978
65535,14.071993670886076,181.7931763480056,10.2450110912323
65535,14.380537974683545,184.13240957492073,10.345551013946533
65535,14.689082278481013,182.62230399145824,10.446922302246094
65535,14.997626582278482,183.83683724029754,10.547623872756958
65535,15.30617088607595,182.32556215147247,10.649160146713257
65535,15.614715189873417,183.24723281625225,10.75018572807312
65535,15.923259493670885,183.24593544478552,10.85121202468872
65535,16.231803797468356,183.99366004292807,10.951827764511108
65535,16.540348101265824,184.00804885467605,11.052435636520386
65535,16.848892405063292,183.2018357427412,11.153486251831055
65535,17.15743670886076,182.9851049648894,11.254656553268433
65535,17.46598101265823,182.64550078022666,11.356014966964722
65535,17.774525316455698,184.36456215558832,11.456428289413452
65535,18.083069620253166,182.40779844037613,11.557918787002563
65535,18.391613924050635,183.6542148420059,11.65872049331665
-65535,18.700949367088608,183.18750641725387,11.760038137435913
-65535,18.651898734177216,-29.23337197338845,11.860712051391602
-65535,18.375791139240505,-163.65217903568885,11.961941719055176
-65535,18.083069620253166,-174.01256278341793,12.062872886657715
-65535,17.787183544303797,-175.7771031708455,12.163871049880981
-65535,17.491297468354432,-176.02184515900615,12.264728784561157
-65535,17.195411392405063,-175.90458319889456,12.36565375328064
-65535,16.89873417721519,-175.3991186091993,12.467140197753906
-65535,16.602848101265824,-175.83396881534915,12.568105697631836
-65535,16.306962025316455,-175.9382488296503,12.669011354446411
-65535,16.01107594936709,-175.48298626748723,12.77017879486084
-65535,15.715189873417721,-176.08178392638186,12.871002197265625
-65535,15.419303797468354,-176.6310357590906,12.971512079238892
-65535,15.124208860759493,-174.20868615833263,13.073147058486938
-65535,14.828322784810126,-175.38791991163507,13.17436933517456
-65535,14.533227848101266,-174.68361933686788,13.275727987289429
-65535,14.238132911392405,-175.5856492098578,13.376565933227539
-65535,13.942246835443038,-176.63271171450205,13.47707486152649
-65535,13.647943037974683,-174.85321639981902,13.578063726425171
-65535,13.352848101265822,-176.21937147638315,13.678539037704468
-65535,13.055379746835444,-175.46123987550789,13.78026008605957
